Tender,Company,Procurement,Notice,Location,Closing,Value,Date
DPS for Scaffolding and Associated Services,EN:PROCURE LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  16 May 2026, 11:59pm",  £0,  10 May 2022
"DPS for Installation, Responsive Repair and Maintenance",EN:PROCURE LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  10 December 2025, 11:59pm",  £0,  10 May 2022
DPS for Supply of Building Materials and Associated Goods,EN:PROCURE LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  25 February 2026, 11:59pm",  £0,  10 May 2022
DPS for Supply or Supply and Installation of Modular and Portable buildings,EN:PROCURE LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  16 October 2030, 11:59pm",  £0,  10 May 2022
DPS For Energy Efficiency Retrofit Installation Contractors,EN:PROCURE LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  16 May 2026, 11:59pm",  £0,  10 May 2022
DPS for Compliance Works,EN:PROCURE LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  10 December 2025, 11:59pm",  £0,   9 May 2022
Independent Best Interest Assessors,East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"   6 November 2025, 12pm","  £1 to £660,960",   6 May 2022
Community Dental Services,North Of England Commissioning Support,  Future opportunity,  Open,  North East,Approach to market date  1 April 2025,"  £59,095,768",   6 May 2022
NHS 111 Dedicated Urgent Dental Care In Hours Hubs Services,North Of England Commissioning Support,  Future opportunity,  Open,  North East,Approach to market date  1 December 2024,"  £79,730",   6 May 2022
Advanced Dental Sedation Services,North Of England Commissioning Support,  Future opportunity,  Open,  North East,Approach to market date 30 April 2024,"  £3,961,756",   6 May 2022
Leasing of Rail Wagons,CTM Portal for the NDA Shared Services Alliance,  Opportunity,  Open,  CA6 4SJ,"  10 April 2030, 11pm","  £0 to £10,000,000",  26 April 2022
Endoscopy Sterilisation Chemicals for use with Steris Reliance PTX Machines,Wirral University Teaching Hospital  NHS Foundation Trust,  Future opportunity,  Open,  England,Approach to market date 30 April 2024,"  £170,000 to £190,000",  22 April 2022
21034 Social and Education Transport Services Dynamic Purchasing System 2021,Cambridgeshire County Council,  Opportunity,  Open,  England,"  30 August 2026, 11:59pm","  £300,000,000","  31 August 2021, last edited 13 April 2022"
"Framework for the provision of General Repairs, Maintenance Services and Energy Improvement Measures",WALTHAM FOREST SERVICES LIMITED,  Future opportunity,  Open,  England,Approach to market date  1 June 2024,"  £2 to £16,600,000",  12 April 2022
21129 CCC & PCC Individual Service Funds,Cambridgeshire County Council,  Opportunity,  Open,  England,"  31 July 2025, 11:30pm","  £21,600,000","   8 April 2022, last edited  8 April 2022"
DAPL Reopening - Healthcare Services - i-1428,Oxfordshire County Council,  Opportunity,  Open,  England,"  31 March 2026, 12pm","  £1,275,000",   1 April 2022
DAPL Reopening - Primary Care Services - i1429,Oxfordshire County Council,  Opportunity,  Open,  England,"  31 March 2026, 12pm","  £1,475,000",   1 April 2022
EN:Procure Green DPS,DUE NORTH LIMITED,  Opportunity,  Open,  United Kingdom,"  18 February 2027, 12am",  £0,"  28 December 2020, last edited 23 March 2022"
LPS CARE - Pseudo Dynamic Purchasing System for the Provision of Childrens Home Services - RFQ 15315336,Lancashire County Council,  Opportunity,  Open,  North West,"  29 July 2032, 10am","  £530,000,000 to £670,000,000","   8 February 2022, last edited 21 March 2022"
YPO - 001110 Emergency Response and Rescue Equipment,YPO,  Opportunity,  Open,  United Kingdom,"  13 June 2032, 11:59pm","  £15,000,000 to £40,000,000",  15 March 2022
Highways Services - A3 CIVIL AND HIGHWAY ENGINEERING,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £8,000,000",   9 March 2022
Highways Services - A2 CARRIAGEWAY STRUCTURAL RESURFACING,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £8,000,000",   9 March 2022
Dynamic Purchasing System -The City of Liverpool College - Performing Arts & Creative Study Programmes,The City of Liverpool College,  Opportunity,  Open,  L13 0BQ,"  31 July 2024,  6pm","  £650,000 to £3,000,000","  28 June 2017, last edited  9 March 2022"
Highways Services - A1.5 CARRIAGEWAY AND FOOTWAY RETREAD PROCESS,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £1,000,000",   3 March 2022
Highways Services - A1.4 CARRIAGEWAY MICRO ASPHALT HAND APPLIED PATCHING,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £600,000",   3 March 2022
Highways Services - A1.3 SLURRY SEALING PROCESSES,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £1,000,000",   3 March 2022
Highways Services - A1.3 SLURRY SEALING PROCESSES,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £1,000,000",   3 March 2022
Highways Services - A1.2 MICRO ASPHALT PROCESSES,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £8,000,000",   3 March 2022
Highways Services - A1.1 SURFACE DRESSING PROCESSES,Wirral Borough Council,  Future opportunity,  Open,  England,Approach to market date  1 January 2025,"  £4,000,000",   3 March 2022
Early Help Alliance Project,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date 26 October 2026,"  £3,325,000",  22 February 2022
Management and Maintenance of Council owned residential units,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  1 September 2026,"  £229,700",  15 February 2022
Early Intervention and Prevention & Carers (Adult and Young Carers),Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  1 May 2026,"  £9,846,000",  15 February 2022
Highways and Lighting Term Contract,London Borough of Waltham Forest,  Future opportunity,  Open,  England,Approach to market date  1 January 2026,"  £1 to £80,000,000",  14 February 2022
Research Services DPS,Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  13 July 2031, 11:59pm","  £1,000,000",  10 February 2022
Leicestershire Children and Families Services Gateway2Resources (G2R) - Supported Accommodation for Young People Aged 16+,Leicestershire County Council,  Opportunity,  Open,  United Kingdom,"  30 November 2030, 12pm","  £166,000,000","  21 August 2020, last edited 10 February 2022"
KMCAS-125 - Electronic Market Place for Supported Living Services,Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 March 2032,  1pm","  £0 to £70,000,000",   2 February 2022
Shaw Trust Delivery Partner Dynamic Purchasing Service,The Shaw Trust Limited,  Opportunity,  Open,  England,"  29 May 2026,  5pm","  £10,000 to £150,000","   1 February 2022, last edited  1 February 2022"
Dynamic Purchasing System for Apprenticeships,North East Lincolnshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 January 2030, 11:59pm","  £0 to £1,920,000",  31 January 2022
"Employment, Skills and Economic Development Dynamic Purchasing System",Barnsley Metropolitan Borough Council,  Opportunity,  Open,  Yorkshire and the Humber,"   1 August 2025, 12pm","  £1 to £5,000,000",  25 January 2022
LPS CARE - Flexible Agreement for the provision of Fostering Agency Placements - RFQ 15314114,Lancashire County Council,  Opportunity,  Open,  North West,"   4 May 2031, 10am","  £375,000,000 to £415,000,000",  14 January 2022
Short Term hire of Vehicles - DPS,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"   6 March 2028, 10am",  £0,  13 January 2022
Dynamic Purchasing System - Valuation Services (2022),JV North Ltd,  Opportunity,  Open,  M22 9TA,"   4 January 2026, 11:59pm",  £0,"   6 January 2022, last edited  7 January 2022"
Dynamic Purchasing System - Development Contractors (2022),JV North Ltd,  Opportunity,  Open,  M22 9TA,"   6 January 2026, 11:59pm",  £0,"   6 January 2022, last edited  7 January 2022"
My Life PDSP,Wakefield Council,  Opportunity,  Open,  Yorkshire and the Humber,"   8 April 2027, 11:30pm","  £0 to £95,000,000",   6 January 2022
Cheshire and Merseyside Suicide Bereavement and Postvention Service,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date 30 April 2025,"  £609,000",   6 January 2022
Wirral Infection Prevention and Control Service,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  6 July 2026,"  £2,450,000",   5 January 2022
"Building Works, Supplies & Services including specialists and consultancy",BIP SOLUTIONS LIMITED,  Opportunity,  Open,  East of England,"  15 October 2028,  2pm",  £1,"  21 September 2020, last edited 23 December 2021"
London and Quadrant Housing Trust - External Wall review - Fire Inspections & Remedials Dynamic Purchase System (DPS),L&Q Construction,  Opportunity,  Open,  E15 4PH,"  22 December 2031,  6pm",  £0,  22 December 2021
P0550 - OPEN Application To Join A Flexible Contracting Arrangement For The Provision Of Placements In Residential Children's Homes,Birmingham City Council,  Opportunity,  Open,  B4 7WB,"  14 December 2024, 12pm",  £0,"  18 December 2018, last edited 21 December 2021"
Independent Alternative Provision re-opening September 2021,West Sussex County Council,  Opportunity,  Open,  PO19 1RQ,"  28 February 2026,  6:11pm","  £12,000,000 to £13,000,000","   5 October 2021, last edited 20 December 2021"
Supply of Specialist Materials (EWNI) Dynamic Purchasing System,Procurement For Housing,  Opportunity,  Open,  WA2 0YL,"  10 August 2026,  4pm","  £1 to £250,000,000","  10 August 2021, last edited 20 December 2021"
PURCON830 Invest East,University of East Anglia,  Opportunity,  Open,  NR4 7TJ,"  31 August 2026,  6pm",  £0,"   4 January 2019, last edited 16 December 2021"
"KNH-003 Dynamic purchase system for construction contractors , subcontractors and ancillary services",DUE NORTH LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  28 June 2024, 12pm","  £70,000,000","  14 June 2019, last edited  2 December 2021"
KMCFM-001 Construction Materials and Ancillary Products DPS,Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  28 April 2031, 11:59pm","  £11,300,000","   9 April 2021, last edited 29 November 2021"
P0834 -1  Mentoring and Positive Activity Services - DPS,Birmingham City Council,  Opportunity,  Open,  B4 7DJ,"   5 December 2026, 12pm",  £0,  24 November 2021
Magnox - HP3 Qualification - Cat 3: Health Physics Monitoring Resources (with Portable Metrology),CTM Portal for the NDA Shared Services Alliance,  Opportunity,  Open,  BS35 1RQ,"  31 March 2029, 12am","  £0 to £107,000,000",  18 November 2021
Highways Materials DPS,East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 January 2032, 12pm","  £120,000,000 to £121,000,000",   5 November 2021
Waste Management DPS,Thirteen Housing Group Ltd,  Opportunity,  Open,  TS2 1QG,"  22 October 2028, 12pm",  £0,"  17 September 2021, last edited  8 October 2021"
London and Quadrant Housing Trust - Marketing Suites and Signage Dynamic Purchasing System,L&Q Construction,  Opportunity,  Open,  E15 4PH,"   4 October 2031,  6pm",  £0,   5 October 2021
Dynamic Purchasing System for the Provision of Housing Adaptation Works,Doncaster Council,  Opportunity,  Open,  DN1 3BU,"  20 November 2026, 12pm","  £0 to £3,500,000",   5 October 2021
PAN2598 - Passenger Transport Services DPS,Leicester City Council,  Opportunity,  Open,  England,"  31 July 2027,  8pm","  £22,416,400","   6 September 2021, last edited 28 September 2021"
"London and Quadrant Housing Trust - Dryling, SFS, Screed and Windows Dynamic Purchase System (DPS)",L&Q Construction,  Opportunity,  Open,  E15 4PH,"  18 December 2024,  6pm",  £0,"  22 December 2020, last edited 27 September 2021"
Flexible Framework of Independent Fostering Providers,Bath and North East Somerset Council,  Opportunity,  Open,  England,"  31 March 2026, 11:59pm","  £1,000,000,000","  24 September 2021, last edited 27 September 2021"
"London and Quadrant Housing Trust - Drylining, SFS, Screed and Windows Dynamic Purchase System (DPS)",L&Q Construction,  Opportunity,  Open,  E15 4PH,"  20 September 2025,  6pm",  £0,  20 September 2021
Dynamic Purchasing System for Small Infrastructure Delivery - 2021-2023,Worcestershire County Council,  Opportunity,  Open,  WR5 2NP,"  31 August 2024, 12am",  £0,"  23 July 2021, last edited 20 September 2021"
"YPO - 001087 Low Energy Lighting Systems to Include Internal, External and Emergency Lighting",YPO,  Opportunity,  Open,  United Kingdom,"  22 November 2025, 11:59pm","  £10,000,000",  17 September 2021
NHS National Pharmaceuticals Transition 2024_2,NHS England,  Future opportunity,  Open,  WA7 2ES,Approach to market date  1 June 2024,"  £45,000,000",  13 September 2021
Apprenticeship Training Providers,Dorset Council,  Opportunity,  Open,  United Kingdom,"  10 September 2025, 11:59pm","  £0 to £3,600,000",   7 September 2021
T1-5622-ISHA-DPS-Services,Islington and Shoreditch Housing Association,  Opportunity,  Open,  South East,"   1 September 2031, 12pm",  £0,   3 September 2021
T1-5936-Sage-DPS-Defects,Sage Housing Association,  Opportunity,  Open,"  North East, Yorkshire and the Humber, North West, East Midlands, West Midlands, East of England, South East, South West, London","  24 August 2026, 12pm",  £0,  24 August 2021
"London and Quadrant Housing Trust - Groundwork, RC Frame, External Works and Piling - Dynamic Purchasing System (DPS)",L&Q Construction,  Opportunity,  Open,  E15 4PH,"  18 August 2031,  6pm",  £0,  18 August 2021
Local HealthWatch Service,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  4 January 2028,"  £1,692,036","  11 August 2021, last edited 13 August 2021"
Wirral Stop Smoking Service,Wirral Borough Council,  Future opportunity,  Open,  United Kingdom,Approach to market date  1 September 2027,"  £4,879,000",  10 August 2021
Children and Young People Continuing Healthcare,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  East of England,"  31 October 2026,  5pm",  £0 to £1,   6 August 2021
NHS Continuing Healthcare Services for Norfolk and Waveney,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  East of England,"  31 October 2024,  5pm",  £0 to £1,   6 August 2021
Public Health England - Weight Management Services,PAGABO,  Opportunity,  Open,  SE1 8UG,"  28 June 2024, 12pm","  £15,000,000 to £30,379,636.84","   6 July 2021, last edited  2 August 2021"
